animal_id,fk_type,animal_name,fk_breed,fk_colour_1,fk_colour_2,date_of_birth
A684346,1,,51,14,1,2014-07-07 00:00:00
A685067,1,Lucy,51,6,25,2014-06-16 00:00:00
A678580,1,*Frida,51,25,27,2014-03-26 00:00:00
A675405,1,Stella Luna,20,27,25,2013-03-27 00:00:00
A670420,1,,51,27,25,2013-12-16 00:00:00
A684460,1,Elsa,51,42,1,2014-06-02 00:00:00
A673952,1,,51,13,25,2013-07-05 00:00:00
A686497,1,Chester,51,27,1,2014-03-22 00:00:00
A687965,1,*Oliver,51,14,1,2014-08-03 00:00:00
A668547,1,*Preston,20,27,25,2012-12-04 00:00:00
A682393,1,*Bumble,48,7,1,2014-04-27 00:00:00
A681039,1,,51,27,1,2014-05-27 00:00:00
A682532,1,,51,3,1,2014-04-14 00:00:00
A683779,1,,51,27,1,2014-04-15 00:00:00
A686829,1,,51,27,1,2014-08-05 00:00:00
A617061,1,Pumpkin,20,14,1,2011-08-02 00:00:00
A682085,1,Winnie,64,23,1,2010-06-24 00:00:00
A692877,1,Snowflake,51,35,25,2012-11-26 00:00:00
A683856,1,Smoke,64,23,1,2007-07-16 00:00:00
A683517,1,*Dora,51,3,1,2014-06-05 00:00:00
A688811,1,,20,42,1,2013-09-24 00:00:00
A680225,1,,51,3,1,2012-05-31 00:00:00
A662912,1,*Cosmo,51,28,1,2013-08-10 00:00:00
A677218,1,,51,42,1,2014-03-21 00:00:00
A691708,1,,51,13,25,2014-08-01 00:00:00
A670066,1,*Sophie,51,3,1,2013-01-01 00:00:00
A667511,1,,20,42,1,2013-09-04 00:00:00
A670656,1,Mischief,51,6,25,2008-01-11 00:00:00
A688674,1,,51,27,25,2012-09-22 00:00:00
A677633,1,,51,27,25,2014-04-12 00:00:00
A688532,1,,51,14,1,2014-08-29 00:00:00
A687769,1,*Rose,51,42,1,2014-09-09 00:00:00
A678060,1,,51,42,1,2014-03-19 00:00:00
A688036,1,,51,23,1,2012-09-13 00:00:00
A663623,1,*Monkey,51,27,1,2013-06-06 00:00:00
A691706,1,Lucy,11,42,1,2014-10-01 00:00:00
A667028,1,*Mike,51,14,1,2012-11-11 00:00:00
A672190,1,*Magnolia,51,42,1,2012-02-05 00:00:00
A687138,1,*Winston,51,25,27,2014-08-06 00:00:00
A662261,1,*Kim,20,27,25,2013-07-24 00:00:00
A665799,1,*Alley,51,14,1,2013-07-23 00:00:00
A673438,1,,51,42,1,2012-02-24 00:00:00
A669140,1,*Martin,51,14,1,2013-10-24 00:00:00
A669576,1,,51,13,25,2005-12-23 00:00:00
A685582,1,,51,27,25,2014-07-18 00:00:00
A684998,1,Tiki,51,27,25,2004-08-25 00:00:00
A664486,1,*Taylor,51,14,1,2013-08-04 00:00:00
A689192,1,,51,6,25,2014-09-08 00:00:00
A665019,1,*Amber,51,3,1,2005-10-12 00:00:00
A684110,1,,51,22,25,2014-06-19 00:00:00
A677014,1,Jenny,51,23,25,2011-04-18 00:00:00
A677959,1,,51,23,1,2014-04-01 00:00:00
A680473,1,*Libby,51,42,1,2014-04-26 00:00:00
A690900,1,Rainy,51,22,25,2014-09-12 00:00:00
A664437,1,,51,22,25,2013-05-03 00:00:00
A683956,1,,51,14,1,2011-07-17 00:00:00
A690029,1,,51,34,1,2011-10-13 00:00:00
A678260,1,,51,23,1,1999-05-06 00:00:00
A672918,1,*Trinity,51,42,1,2012-08-18 00:00:00
A681990,1,,51,42,1,2014-05-31 00:00:00
A683735,1,,51,27,1,2014-06-23 00:00:00
A685607,1,,48,37,1,2014-07-25 00:00:00
A679736,1,,51,42,1,2013-07-25 00:00:00
A671106,1,,11,27,1,2013-03-18 00:00:00
A678573,1,*Orville,51,22,25,2013-06-10 00:00:00
A626164,1,Salem,51,27,1,2012-04-16 00:00:00
A669753,1,*Ursula,51,42,1,2012-12-26 00:00:00
A687770,1,*Lily,51,3,1,2014-09-09 00:00:00
A688206,1,Garfield,11,14,1,2011-09-16 00:00:00
A667359,1,Garfield,51,25,14,2005-11-16 00:00:00
