index,fk_animal_id,fk_outcome_subtype,fk_outcome_type,outcome_month,outcome_year,age_upon_outcome
0,0,15,9,7,2014,2 weeks
1,1,1,5,8,2014,1 month
2,2,7,5,6,2014,3 months
3,3,1,4,3,2014,1 year
4,4,15,9,1,2014,3 weeks
5,5,1,5,8,2014,2 months
6,6,16,9,3,2014,8 months
7,7,1,5,8,2014,5 months
8,8,5,5,10,2014,2 months
9,9,15,9,12,2013,1 year
10,10,15,9,7,2014,2 months
11,11,15,9,6,2014,2 weeks
12,12,1,5,7,2014,2 months
13,13,1,5,7,2014,3 months
14,14,15,9,8,2014,3 weeks
15,15,12,1,9,2014,3 years
16,16,1,5,7,2014,4 years
17,17,15,9,12,2014,2 years
18,18,5,5,8,2014,7 years
19,19,15,9,7,2014,1 month
20,20,16,9,9,2014,1 year
21,21,16,9,6,2014,2 years
22,22,15,9,10,2013,2 months
23,23,15,9,4,2014,4 weeks
24,24,16,9,11,2014,3 months
25,25,1,5,1,2014,1 year
26,26,17,6,11,2013,2 months
27,27,1,4,1,2014,6 years
28,28,16,9,9,2014,2 years
29,29,17,6,4,2014,2 weeks
30,30,15,9,9,2014,3 weeks
31,31,1,5,11,2014,2 months
32,32,5,5,6,2014,3 months
33,33,16,9,9,2014,2 years
34,34,1,5,10,2013,4 months
35,35,5,5,12,2014,2 months
36,36,1,5,11,2013,1 year
37,37,5,5,5,2014,2 years
38,38,1,5,10,2014,2 months
39,39,15,9,12,2013,5 months
40,40,1,5,11,2013,3 months
41,41,16,9,2,2014,2 years
42,42,15,9,12,2013,1 month
43,43,17,6,12,2013,8 years
44,44,15,9,8,2014,3 weeks
45,45,1,5,10,2014,10 years
46,46,15,9,10,2013,2 months
47,47,17,6,9,2014,3 weeks
48,48,1,5,12,2013,8 years
49,49,17,6,7,2014,4 weeks
50,50,15,9,6,2014,3 years
51,51,5,5,7,2014,3 months
52,52,5,5,7,2014,2 months
53,53,1,5,11,2014,2 months
54,54,16,9,10,2013,5 months
55,55,1,5,7,2014,3 years
56,56,16,9,10,2014,3 years
57,57,15,9,5,2014,15 years
58,58,1,5,3,2014,1 year
59,59,15,9,6,2014,3 weeks
60,60,15,9,7,2014,4 weeks
61,61,15,9,8,2014,2 weeks
62,62,16,9,5,2014,10 months
63,63,16,9,1,2014,10 months
64,64,1,5,6,2014,11 months
65,65,1,5,1,2014,1 year
66,66,15,9,1,2014,1 year
67,67,1,5,11,2014,2 months
68,68,15,9,9,2014,3 years
69,69,1,4,11,2013,8 years
70,70,1,5,9,2014,6 months
71,71,15,9,8,2014,1 month
72,72,16,9,8,2014,5 months
73,73,1,5,6,2014,2 months
74,74,15,9,6,2014,2 weeks
75,75,5,5,7,2014,2 months
